Epoch	LR	loss	acc	
102	0.00025	0.6169465516369773	0.9555117293142978	
105	0.00025	0.5993304277569187	0.9543205042620866	
108	0.00025	0.6006118831130376	0.9577535003936815	
111	0.00025	0.594640378516151	0.9583755905309597	
114	0.00025	0.5889921881553886	0.9607056203142593	
117	0.00025	0.5787746654208011	0.9572726241826638	
120	0.000125	0.5620865101068555	0.9629024596898343	
123	0.000125	0.550364750860021	0.9631741895176402	
126	0.000125	0.5502362225024185	0.9623707678614152	
129	0.000125	0.5387077942031071	0.962437630515894	
132	0.000125	0.5372056118192127	0.9615213446989043	
135	0.000125	0.5370686681785247	0.9611747286980854	
138	0.000125	0.5345191436979739	0.9630201379617178	
141	0.000125	0.5255554636144428	0.9621236434904596	
144	0.000125	0.525487828884881	0.9610816558830505	
147	0.000125	0.5232075356964497	0.9637304868029105	
150	0.000125	0.5168292580197036	0.9632817046660432	
153	0.000125	0.5188351097611079	0.9638187455068232	
156	0.000125	0.5148488100667357	0.964012379754193	
159	0.000125	0.5125347164496451	0.9623365341823188	
162	6.25e-05	0.49532075705507256	0.9635224102221674	
165	6.25e-05	0.48369661104836653	0.9628960408750067	
168	6.25e-05	0.48858180405810014	0.9629415074800507	
171	6.25e-05	0.48113649873481446	0.961894705761522	
174	6.25e-05	0.4773083591776272	0.9635400619629503	
177	6.25e-05	0.4842859958236963	0.9629538102084739	
180	6.25e-05	0.4803199199590389	0.9635282941357629	
183	6.25e-05	0.47876517218640197	0.9633517767279367	
186	6.25e-05	0.47754966543109406	0.9637599063708783	
189	6.25e-05	0.4732652600641293	0.963515991407339	
192	6.25e-05	0.4763039827084226	0.9629912532949846	
195	6.25e-05	0.47219668440356655	0.9631121409742843	
198	6.25e-05	0.460842278429065	0.9627890606278378	
201	3.125e-05	0.4553866584658098	0.9626125432200109	
204	3.125e-05	0.4582451444102804	0.9639337492725264	
207	3.125e-05	0.46072125264201397	0.9642932029030091	
210	3.125e-05	0.45922596667306537	0.9644691854095986	
213	3.125e-05	0.4504937126510469	0.963955680223198	
216	3.125e-05	0.45168315366501327	0.9638315831364833	
219	3.125e-05	0.4500357935344595	0.9647157748793189	
222	3.125e-05	0.4490446603245672	0.9629019247885967	
225	3.125e-05	0.4534822219268866	0.9643680890760254	
228	3.125e-05	0.449021615645959	0.9643857408168085	
231	3.125e-05	0.4501624786118579	0.9642616437300926	
234	3.125e-05	0.4480414376122311	0.963955145321958	
237	3.125e-05	0.4538046793790641	0.9642659229399787	
240	1.5625e-05	0.4403908758173955	0.9640615906678907	
243	1.5625e-05	0.44328364874297826	0.9643862757180448	
246	1.5625e-05	0.44085739218190906	0.9637759534079562	
249	1.5625e-05	0.4378166839414756	0.9643889502242246	
252	1.5625e-05	0.43316196029931964	0.9638909571736607	
255	1.5625e-05	0.43869162682394625	0.96410438276676	
258	1.5625e-05	0.4294376614860501	0.9640262871863274	
261	1.5625e-05	0.43582672537160866	0.9644322772243263	
264	1.5625e-05	0.4372940045096276	0.9638267690253589	
267	1.5625e-05	0.43696383823382173	0.9641765944335955	
270	1.5625e-05	0.4388756695560422	0.9647821026325639	
273	1.5625e-05	0.4311554538258372	0.9640161240628462	
276	1.5625e-05	0.4306163120899957	0.9645997013111418	
279	1.5625e-05	0.42822978044921606	0.9640257522850908	
282	7.8125e-06	0.42712152463749115	0.9633795915922014	
285	7.8125e-06	0.42252387546232617	0.9641054525692313	
288	7.8125e-06	0.42986545898840817	0.9639524708157811	
291	7.8125e-06	0.4298703432870856	0.9639850997911689	
294	7.8125e-06	0.424399695207369	0.9636507865187697	
297	7.8125e-06	0.42350767060523514	0.9637534875560503	
300	7.8125e-06	0.42819155273458503	0.96394498219848	
303	7.8125e-06	0.424439139171844	0.964073893396316	
306	7.8125e-06	0.42866506227312634	0.9639776111738627	
309	7.8125e-06	0.4225613297607405	0.9639070042107352	
312	7.8125e-06	0.42948043044443174	0.9633571257402963	
315	7.8125e-06	0.426080220990244	0.9641049176679939	
318	7.8125e-06	0.42403415646321974	0.9639952629146468	
321	3.90625e-06	0.4239173343790785	0.964631795385293	
324	3.90625e-06	0.4238935439859718	0.9645109077059927	
327	3.90625e-06	0.42155989794479065	0.9639765413713937	
330	3.90625e-06	0.42547958537870567	0.964073358495078	
333	3.90625e-06	0.4253263640246202	0.9643039009277242	
336	3.90625e-06	0.42262639138141916	0.9641241741124846	
339	3.90625e-06	0.42458374450385306	0.963958354729375	
342	3.90625e-06	0.427692943732644	0.9639016551983761	
345	3.90625e-06	0.4220733242150445	0.9636374139878733	
348	3.90625e-06	0.424269860799092	0.9641434305569746	
351	3.90625e-06	0.4269293512541817	0.9639653084454416	
